"label","name","super_class","is_extendable","sys_updated_on"
"Agent Assist Recommendation","agent_assist_recommendation","Application File","false","2020-09-13 07:00:40"
"MID Server File","agent_file","","false","2020-09-13 06:45:26"
"Asset","alm_asset","","true","2020-09-13 06:38:40"
"Asset CI Field Mapping","alm_asset_ci_field_mapping","Application File","false","2020-09-13 06:38:38"
"Asset CI Install Status Mapping","alm_asset_ci_state_mapping","Application File","false","2020-09-13 06:38:41"
"Asset Creation Queue","alm_asset_creation_queue","","false","2020-09-13 06:38:42"
"Consumable","alm_consumable","Asset","false","2020-09-13 06:38:41"
"Custom Template Task","alm_custom_template_task","Template Task","false","2020-09-13 06:38:41"
"License Entitlement","alm_entitlement","","true","2015-07-30 13:55:49"
"Device Entitlement","alm_entitlement_asset","License Entitlement","false","2015-07-30 13:59:23"
"User Entitlement","alm_entitlement_user","License Entitlement","false","2015-07-30 13:58:44"
"Facility","alm_facility","Asset","false","2020-09-13 06:38:40"
"Fixed Assets","alm_fixed_assets","","false","2020-09-13 06:38:35"
"Hardware","alm_hardware","Asset","false","2020-09-13 06:38:42"
"Asset CI Hardware State Mapping","alm_hardware_state_mapping","Application File","false","2020-09-13 06:38:38"
"Software License","alm_license","Asset","false","2020-09-13 06:38:41"
"Stockroom Model","alm_m2m_stockroom_model","","false","2020-09-13 06:38:40"
"Stockroom","alm_stockroom","","false","2020-09-13 06:38:42"
"Stockroom Type","alm_stockroom_type","","false","2020-09-13 06:38:39"
"Stock Rule","alm_stock_rule","","false","2020-09-13 06:38:38"
"Template Subtask","alm_template_subtask","","false","2020-09-13 06:38:39"
"Template Task","alm_template_task","","true","2020-09-13 06:38:36"
"Transfer Order","alm_transfer_order","","false","2020-09-13 06:38:39"
"Transfer Order Line","alm_transfer_order_line","","false","2020-09-13 06:38:37"
"Transfer Order Line Subtask","alm_transfer_order_line_subtask","Task","false","2020-09-13 06:38:37"
"Transfer Order Line Task","alm_transfer_order_line_task","Task","false","2020-09-13 06:38:41"
"Default Stockroom","alm_user_stockroom","","false","2020-09-13 06:38:40"
"Announcement","announcement","Application File","false","2020-09-13 06:49:43"
"Announcement Consumer Type","announcement_consumer_type","Application File","false","2020-09-13 06:49:42"
"Announcement Style","announcement_style","Application File","false","2020-09-13 06:49:43"
"Antivirus Activity","antivirus_activity","","false","2020-09-13 06:53:44"
"API Key Credentials","api_key_credentials","Credentials","false","2020-09-13 06:46:03"
"Application Diagnostic","application_diagnostic","","false","2020-09-13 06:43:29"
"Untrusted And Trusted Domain","appsec_domain_listing","","false","2020-09-13 06:57:02"
"Domain Monitoring","appsec_domain_result_set","","false","2020-09-13 06:57:01"
"Hardening Configuration","appsec_hardening_configurations","","false","2020-09-13 06:57:02"
"Hardening Guide Categories","appsec_hardening_guide_categories","","false","2020-09-13 06:57:01"
"ISC Banner Configuration","appsec_isc_banner_configuration","","false","2020-09-13 06:57:01"
"ISC Event Configuration","appsec_isc_event_configuration","","false","2020-09-13 06:57:03"
"Security Dashboard Event Logs","appsec_security_dashboard_event_logs","","false","2020-09-13 06:57:02"
"AppSec Security Notifications","appsec_security_notifications","","false","2020-09-13 06:57:03"
"AppSec Security Notification List","appsec_security_notification_list","","false","2020-09-13 06:57:02"
"AppSec Security Notification Type","appsec_security_notification_type","","false","2020-09-13 06:57:02"
"Appsec Security Update","appsec_security_update","","false","2020-09-13 06:57:03"
"Archive On-Call Escalation","ar_on_call_escalation","","false","2020-09-13 07:13:52"
"Archive On-Call Escalation Notification","ar_on_call_escalation_comm","","false","2020-09-13 07:13:53"
"Archive On-Call Escalation Contact Attempt","ar_on_call_escalation_con_attempt","","false","2020-09-13 07:13:53"
"Archive On-Call Escalation Level","ar_on_call_escalation_level","","false","2020-09-13 07:13:52"
"Archive Email","ar_sys_email","","false","2020-09-13 07:13:51"
"Archive Push Notification","ar_sys_push_notification","","false","2020-09-13 07:13:50"
"Assessable Record","asmt_assessable_record","","false","2015-04-13 14:36:48"
"Assessment Group","asmt_assessment","","false","2020-09-13 06:39:07"
"Assessment Instance","asmt_assessment_instance","","false","2020-09-13 06:39:07"
"Assessment Instance Question","asmt_assessment_instance_question","","false","2016-07-01 19:16:40"
"Assessment Stat","asmt_assessment_stat","","false","2020-09-13 06:39:07"
"Bubble Chart","asmt_bubble_chart","Application File","false","2020-09-13 06:39:06"
"Assessment Category Result","asmt_category_result","","false","2020-09-13 06:39:05"
"Trigger Condition","asmt_condition","Application File","false","2020-09-13 06:39:08"
"Decision Matrix","asmt_decision_matrix","Application File","false","2020-09-13 06:39:09"
"Category Assessable Records","asmt_m2m_category_assessment","","false","2020-09-13 06:39:08"
"Assessment Category User","asmt_m2m_category_user","","false","2020-09-13 06:39:03"
"Survey Recipients Lists","asmt_m2m_recipientslist_survey","","false","2020-09-13 06:39:32"
"Assessment Stakeholders","asmt_m2m_stakeholder","","false","2020-09-13 06:39:04"
"Assessment X Category Matrix","asmt_m2m_xcategory_matrix","Application File","false","2020-09-13 06:39:03"
"Assessment Y Category Matrix","asmt_m2m_ycategory_matrix","Application File","false","2020-09-13 06:39:06"
"Assessment Metric","asmt_metric","Application File","false","2020-09-13 06:39:03"
"Metric Category","asmt_metric_category","Application File","false","2020-09-13 06:39:06"
"Assessment Metric Definition","asmt_metric_definition","Application File","false","2020-09-13 06:39:03"
"Metric Result","asmt_metric_result","","false","2020-09-13 06:39:05"
"Assessment Metric Type","asmt_metric_type","Application File","true","2020-09-13 06:39:06"
"Assessment Metric Type Group","asmt_metric_type_group","","false","2020-09-13 06:39:04"
"Assessment NPS Definition","asmt_nps_definition","Assessment Template Definition","false","2020-09-13 06:39:07"
"Assessment Net Promoter Score","asmt_nps_result","","false","2020-09-13 06:39:08"
"Assessment NPS Template","asmt_nps_template","Assessment Metric Template","false","2020-09-13 06:39:05"
"Signature","asmt_signature","Application File","false","2020-09-13 06:39:08"
"Assessment Metric Template","asmt_template","Application File","true","2020-09-13 06:39:04"
"Assessment Template Definition","asmt_template_definition","Application File","true","2020-09-13 06:39:04"
"Content Audit","asset_content_audit","","false","2020-09-13 06:38:42"
"Asset Job Log","asset_job_log","","false","2020-09-13 06:38:37"
"Asset Job Log Details","asset_job_log_detail","","false","2020-09-13 06:38:37"
"Asset Properties","asset_property","","false","2020-09-13 06:38:39"
"Contract","ast_contract","","true","2020-09-13 06:48:01"
"Lease Instance","ast_contract_instance","","false","2020-09-13 06:48:04"
"Lease","ast_lease","Contract","false","2020-09-13 06:48:02"
"Adobe Software License","ast_license_adobe","Software License","false","2020-09-13 06:48:03"
"Software License","ast_license_base","","true","2020-09-13 06:48:00"
"Generic Software License","ast_license_generic","Software License","false","2020-09-13 06:48:03"
"Microsoft Software License","ast_license_msft","Software License","false","2020-09-13 06:48:04"
